fecha,var_anual_ipc_seasonally,var_anual_ipc,oficial,blue,ma30_oficial,ma30_blue,var_anual_ipc_diff,oficial_diff,blue_diff,ma30_oficial_diff,ma30_blue_diff
2017-12-01,24.795599999999986,24.642074904437244,18.208333333333332,18.166666666666668,18.020833333333332,18.01388888888889,,,,,
2018-01-01,25.006226257777907,25.246841601635968,19.225806451612904,19.225806451612904,18.70752688172043,18.68064516129032,0.6047666971987233,1.0174731182795718,1.059139784946236,0.6866935483870975,0.6667562724014324
2018-02-01,25.437113435867364,26.009829794254006,20.0,20.0,19.698809523809523,19.698809523809523,0.7629881926180389,0.7741935483870961,0.7741935483870961,0.991282642089093,1.018164362519201
2018-03-01,25.396523331662713,26.04417441235536,20.774193548387096,20.870967741935484,20.451612903225808,20.406451612903226,0.03434461810135403,0.7741935483870961,0.870967741935484,0.7528033794162852,0.707642089093703
2018-04-01,25.498156776336266,25.989772787928878,20.5,21.0,20.537777777777777,20.996666666666666,-0.05440162442648244,-0.2741935483870961,0.12903225806451601,0.08616487455196875,0.5902150537634405
2018-05-01,26.290756997415187,26.664303301270078,24.032258064516128,24.29032258064516,22.07204301075269,22.309677419354838,0.6745305133411996,3.532258064516128,3.29032258064516,1.5342652329749136,1.3130107526881716
2018-06-01,29.466497746489196,29.417752179416873,27.366666666666667,27.366666666666667,25.83,26.05777777777778,2.753448878146795,3.334408602150539,3.076344086021507,3.757956989247308,3.748100358422942
2018-07-01,31.20915549649692,30.608587210197403,28.322580645161292,28.93548387096774,28.283870967741933,28.463440860215055,1.19083503078053,0.9559139784946247,1.568817204301073,2.453870967741935,2.4056630824372753
2018-08-01,34.42611016112578,33.18721583048591,30.419354838709676,30.419354838709676,28.69677419354839,29.074193548387097,2.5786286202885087,2.0967741935483843,1.483870967741936,0.4129032258064562,0.6107526881720418
2018-09-01,40.54234047421197,38.68715489832015,39.333333333333336,39.13333333333333,35.49333333333333,35.44666666666667,5.499939067834241,8.91397849462366,8.713978494623657,6.796559139784943,6.372473118279576
2018-10-01,45.90968959253574,46.25519264752208,38.225806451612904,37.935483870967744,39.07419354838709,38.851612903225806,7.5680377492019275,-1.1075268817204318,-1.197849462365589,3.580860215053761,3.404946236559134
2018-11-01,48.46918028993174,49.25632082004679,37.36666666666667,36.5,37.39777777777778,36.73777777777778,3.0011281725247088,-0.8591397849462368,-1.4354838709677438,-1.6764157706093101,-2.113835125448027
2018-12-01,47.64559006888065,47.35058636788256,38.87096774193548,38.483870967741936,38.33333333333333,37.561290322580646,-1.905734452164225,1.5043010752688133,1.983870967741936,0.9355555555555455,0.8235125448028668
2019-01-01,49.31257663083408,49.78707296067771,38.41935483870968,39.03225806451613,38.67204301075269,39.19247311827957,2.4364865927951485,-0.4516129032258007,0.5483870967741922,0.3387096774193594,1.6311827956989262
2019-02-01,51.275713013779736,52.43018518708548,39.32142857142857,38.42857142857143,38.648809523809526,38.38095238095239,2.6431122264077658,0.9020737327188897,-0.6036866359446975,-0.023233486943162518,-0.8115207373271858
2019-03-01,54.73233993511908,56.1281002384053,42.193548387096776,41.29032258064516,40.74731182795699,39.71075268817204,3.697915051319825,2.8721198156682064,2.8617511520737295,2.098502304147466,1.3298003072196565
