fecha,var_anual_ipc_seasonally,var_anual_ipc
2017-12-01,24.795599999999986,24.642074904437244
2018-01-01,25.006226257777907,25.246841601635968
2018-02-01,25.437113435867364,26.009829794254006
2018-03-01,25.396523331662713,26.04417441235536
2018-04-01,25.498156776336266,25.989772787928878
2018-05-01,26.290756997415187,26.664303301270078
2018-06-01,29.466497746489196,29.417752179416873
2018-07-01,31.20915549649692,30.608587210197403
2018-08-01,34.42611016112578,33.18721583048591
2018-09-01,40.54234047421197,38.68715489832015
2018-10-01,45.90968959253574,46.25519264752208
2018-11-01,48.46918028993174,49.25632082004679
2018-12-01,47.64559006888065,47.35058636788256
2019-01-01,49.31257663083408,49.78707296067771
2019-02-01,51.275713013779736,52.43018518708548
2019-03-01,54.73233993511908,56.1281002384053
2019-04-01,55.727804509210884,56.80226182108437
2019-05-01,57.29651198193557,58.11059657739753
2019-06-01,55.75189582149274,55.65966708767589
2019-07-01,54.38663707010072,53.34005670279631
2019-08-01,54.48255808705677,52.521891255489166
2019-09-01,53.54200569722636,51.091965677040704
2019-10-01,50.485307552858984,50.865245386162776
2019-11-01,52.09175300658877,52.937724195516545
2019-12-01,53.83240201633388,53.49909188615233
2020-01-01,52.85572867690067,53.36431798579349
2020-02-01,50.27489185520109,51.40683054998213
2020-03-01,48.3568665513352,49.590042308185225
2020-04-01,45.625855660367385,46.50554282293385
2020-05-01,43.42122821471692,44.03816896351475
2020-06-01,42.75874911876987,42.688014568263405
2020-07-01,42.390430987357576,41.574697652425364
2020-08-01,40.6729416458653,39.20924224504223
2020-09-01,36.62071923005068,34.94498395429402
2020-10-01,37.23904007424079,37.51929032695652
2020-11-01,35.79781989182178,36.37917725660612
2020-12-01,36.140587812345416,35.91681878890642
2021-01-01,38.531980309830004,38.9027433988386
2021-02-01,40.651782754865295,41.567057243065
2021-03-01,42.64884970291425,43.73646209929112
2021-04-01,46.280152829043075,47.17245513737408
2021-05-01,48.84472864674745,49.5387279808321
2021-06-01,50.20007839147161,50.11703386716743
2021-07-01,51.76617162510582,50.770017756582654
2021-08-01,51.423887270992516,49.5732929952722
2021-09-01,52.4712170969593,50.070175519952045
2021-10-01,52.11165082286735,52.50382804557306
2021-11-01,51.18234515503297,52.01354754089698
2021-12-01,50.941633543466324,50.626221972143874
2022-01-01,50.69016214159103,51.177913898620986
2022-02-01,52.31925686439769,53.49722441721846
2022-03-01,55.10663032213823,56.51193561591312
2022-04-01,58.03800857180077,59.15700766436758
2022-05-01,60.67992959624513,61.5420867194151
2022-06-01,63.982581648779814,63.87673713165893
2022-07-01,71.00245393131924,69.63612980616375
2022-08-01,78.51527309675541,75.68973962077031
2022-09-01,83.02998239535225,79.23059578114363
